op name, kernel name, queue duration (ms), submit duration (ms), exec duration (ms), global size, local size, output size
ffn_moe_topk-4,kernel_moe_scan,0.135200,0.044600,0.013500,1x0x0,1x0x0,6x2x1x1
ffn_moe_topk-4,kernel_moe_fill,0.090200,0.058600,0.002100,64x32x1,64x1x1,6x2x1x1
ffn_moe_topk-4,kernel_moe_scatter,0.056200,0.061300,0.002400,64x6x1,64x1x1,6x2x1x1
ffn_moe_gate-4,kernel_moe_reorder_b,0.322200,0.229500,0.059900,512x2048x1,256x1x1,1408x6x2x1
ffn_moe_gate-4,kernel_gemm_moe_q4_0_f32_ns,0.269200,0.290000,0.579800,64x22x64,64x1x1,1408x6x2x1
ffn_moe_up-4,kernel_moe_reorder_b,0.222200,0.870300,0.056300,512x2048x1,256x1x1,1408x6x2x1
ffn_moe_up-4,kernel_gemm_moe_q4_0_f32_ns,0.189200,0.927100,0.578400,64x22x64,64x1x1,1408x6x2x1
ffn_moe_swiglu-4,kernel_swiglu,0.144200,1.506000,0.003800,6144x1x1,512x1x1,1408x6x2x1
ffn_moe_down-4,kernel_moe_reorder_b,0.111200,1.510300,0.037300,512x2048x1,256x1x1,2048x6x2x1
ffn_moe_down-4,kernel_gemm_moe_q4_0_f32_ns,0.080200,1.548100,0.534700,64x32x64,64x1x1,2048x6x2x1
ffn_moe_out-4,kernel_moe_combine_f32,0.314600,1.807000,0.004500,512x2x0,64x1x0,2048x2x1x1
ffn_gate-4,kernel_transpose_32_16,0.239600,1.812000,0.005100,512x2x0,1x16x0,2816x2x1x1
ffn_gate-4,kernel_gemm_noshuffle_q4_0_f32,0.212600,1.817600,0.315900,1x704x1,1x128x1,2816x2x1x1
ffn_up-4,kernel_transpose_32_16,0.173600,2.134100,0.004700,512x2x0,1x16x0,2816x2x1x1
ffn_up-4,kernel_gemm_noshuffle_q4_0_f32,0.155600,2.139300,0.316200,1x704x1,1x128x1,2816x2x1x1
ffn_swiglu-4,kernel_swiglu,0.127600,2.456000,0.004300,1024x1x1,512x1x1,2816x2x1x1
ffn_shexp-4,kernel_transpose_32_16,0.090600,2.460800,0.006000,704x2x0,1x16x0,2048x2x1x1
ffn_shexp-4,kernel_gemm_noshuffle_q4_0_f32,0.069600,2.467300,0.446700,1x512x1,1x128x1,2048x2x1x1
ffn_out-4,kernel_add,0.335600,2.605800,0.011600,128x1x1,64x1x1,2048x2x1x1
l_out-4,kernel_add,0.258600,2.617900,0.013500,128x1x1,64x1x1,2048x2x1x1
attn_norm-5,kernel_rms_norm_mul,0.218600,2.631900,0.005600,2048x1x1,1024x1x1,2048x2x1x1
q-5,kernel_transpose_32_16,0.183600,2.638000,0.004700,512x2x0,1x16x0,3072x2x1x1
q-5,kernel_gemm_noshuffle_q4_0_f32,0.166600,2.643200,0.322200,1x768x1,1x128x1,3072x2x1x1
q_pe-5,kernel_rope_norm_f32,0.117600,2.965900,0.003400,1024x2x1,64x1x1,64x16x2x1
Qcur-5,kernel_concat_f32,0.080600,2.969800,0.003100,1024x2x1,64x1x1,192x16x2x1
kv_cmpr_pe-5,kernel_transpose_32_16,0.041600,2.973400,0.004900,512x2x0,1x16x0,576x2x1x1
kv_cmpr_pe-5,kernel_gemm_noshuffle_q4_0_f32,0.345400,2.659700,0.310400,1x144x1,1x128x1,576x2x1x1
kv_cmpr-5,kernel_rms_norm_mul,0.269400,2.970600,0.003700,1024x1x1,512x1x1,512x2x1x1
kv-5,kernel_transpose_32_16,0.237400,2.974800,0.003200,128x2x0,1x16x0,4096x2x1x1
kv-5,kernel_gemm_noshuffle_q4_0_f32,0.219400,2.978500,0.084000,1x1024x1,1x128x1,4096x2x1x1
Vcur_cont-5,kernel_cpy_f32_f32,0.178400,3.063000,0.003100,1024x2x1,64x1x1,128x16x2x1
k_pe-5,kernel_rope_norm_f32,0.133400,3.066600,0.002500,64x2x1,64x1x1,64x1x2x1
node_314,kernel_repeat_f32,0.104400,3.069600,0.002700,1024x2x1,64x1x1,64x16x2x1
Kcur-5,kernel_concat_f32,0.067400,3.072900,0.002900,1024x2x1,64x1x1,192x16x2x1
cache_k_l5 (view),kernel_set_rows_f16_i64,0.430200,2.674700,0.004000,2048x1x1,1024x1x1,3072x4096x1x1
